Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer
2018-01-07,Promo.Group 3,1,0,0,0,0,0,Retailer 0
2018-01-07,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-01-07,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-01-07,Promo.Group 20,1,0,0,0,0,0,Retailer 0
2018-01-07,Promo.Group 6,1,0,1,0,0,0,Retailer 0
2018-01-07,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-01-14,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2018-01-14,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-01-14,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-01-14,Promo.Group 20,1,0,0,0,0,1,Retailer 0
2018-01-14,Promo.Group 6,1,0,0,0,0,0,Retailer 0
2018-01-14,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-01-21,Promo.Group 3,1,0,0,0,0,0,Retailer 0
2018-01-21,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-01-21,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-01-21,Promo.Group 20,1,0,0,0,0,1,Retailer 0
2018-01-21,Promo.Group 6,1,0,0,0,0,0,Retailer 0
2018-01-21,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2018-01-28,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-02-04,Promo.Group 3,1,0,0,0,0,0,Retailer 0
2018-02-04,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-02-04,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-02-04,Promo.Group 20,1,0,0,0,0,0,Retailer 0
2018-02-04,Promo.Group 6,1,0,0,0,0,1,Retailer 0
2018-02-04,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 19,0,1,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2018-02-11,Promo.Group 5,0,1,0,0,0,0,Retailer 0
2018-02-18,Promo.Group 3,1,0,0,0,0,0,Retailer 0
