Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.8939028104708604,0.32448
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051221487065215544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.945124297536076,0.952848
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042993897312440736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9368967077833011,0.7744880000000001
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04527998163660746,0.0,0.0,0.0,0.0,0.0,0.008132624637680526,0.19931939369060014,0.8939028104708604,1.1466348104357484,0.8451040000000001
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059363271004708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9532660814755683,1.529528
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025439869994025675,0.0,0.0,0.0,0.0,0.0,0.0,0.19931939369060014,0.8939028104708604,1.1186620741554862,0.966056
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022020256746400686,0.0,0.0,0.0,0.0,0.0,0.01233448070048213,0.0,0.8939028104708604,0.9282575479177432,1.029912
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02689423612642027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9207970465972807,1.6001439999999998
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055770179571759795,0.0,0.0,0.0,0.0,0.0,0.012312945713123786,0.0,0.8939028104708604,0.961985935755744,1.230008
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027844519856355106,0.0,0.0,0.0,0.0,0.0,0.01233448070048213,0.0,0.8939028104708604,0.9340818110276976,0.7416240000000001
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348220607239004,0.0,0.0,0.0,0.0,0.0,0.0,0.19931939369060014,0.8939028104708604,1.128044264885361,1.1599119999999998
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010304979055872389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9042077895267328,0.7468239999999999
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060324056228124874,0.0,0.0,0.0,0.0,0.0,0.012312945713123786,0.0,0.8939028104708604,0.9665398124121091,0.328328
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463622143990179,0.0,0.0,0.0,0.0,0.0,0.01233448070048213,0.0,0.8939028104708604,0.9408735126112443,0.49618399999999996
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05708297326977141,0.0,0.0,0.0,0.0,0.0,0.0,0.19931939369060014,0.8939028104708604,1.1503051774312318,1.3547040000000001
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06072963040143908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9546324408722995,1.036984
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06581769509122859,0.0,0.0,0.0,0.0,0.0,0.01233448070048213,0.19931939369060014,0.8939028104708604,1.1713743799531713,1.007552
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032590629195721796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9264934396665822,0.891904
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047261122968337885,0.0,0.0,0.0,0.0,0.0,0.012408061590061146,0.0,0.8939028104708604,0.9535719950292594,1.778192
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028775452466290125,0.0,0.0,0.0,0.0,0.0,0.006235012222221736,0.0,0.8939028104708604,0.9289132751593723,2.143024
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04553454214700565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9394373526178661,0.687128
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012411274440025153,0.0,0.0,0.0,0.0,0.0,0.01233448070048213,0.19931939369060014,0.8939028104708604,1.1179679593019678,1.441128
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04074046295902979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9346432734298902,1.293656
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04884476364625985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9427475741171203,2.1294
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027729500281213317,0.0,0.0,0.0,0.0,0.0,0.0,0.19931939369060014,0.8939028104708604,1.1209517044426738,0.569088
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686996651495502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9626024756204106,1.339208
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03768967611455246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9315924865854128,0.8916959999999999
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05613358990449005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9500364003753504,0.868192
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041410044995171064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9353128554660315,0.84864
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049136862302461226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9430396727733217,1.28336
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05600829714204047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8939028104708604,0.9499111076129009,0.44252
