Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,within_Price,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
BayesianRegression,0.0,0.14685118994232282,-0.0,-0.1268900668174583,-0.0,0.3542433118034654,0.10161432655932019,0.0,-0.0,-0.0,-0.0,-0.0,-0.215963813863746,-1.1650593509933687,-0.0,-1.041298052350879,-0.0,-0.0,-0.0,0.0,0.42162343506421174,0.0,0.0,0.0,-0.0,-0.04703719427984135,0.0,3.261935591841015,1.690019376905042,1.081392
BayesianRegression,0.0,0.0,-0.3475213800717381,-0.14432584645392618,-0.0,0.23913883044198903,0.07621074491949015,0.0,-0.0,-0.0,-0.0,-0.0,-0.5399095346593328,-0.18162306057203342,-0.0,-1.0377507027474153,-0.0,-0.0,-0.0,0.0,0.11427364549129382,0.0,0.0,0.2500256245530804,-0.06631992806881418,-0.0,0.0,3.261935591841015,1.6241339846736085,1.032616
BayesianRegression,0.0,0.2227243047458563,-0.3475213800717381,-0.1496055949772431,-0.0,0.2243061688069799,0.10161432655932019,0.0,-0.0,-0.0,-0.0,-0.0,-0.215963813863746,-0.42350291119300276,-0.0,-1.0410374909084767,-0.0,-0.0,-0.0,0.0,0.38754763561073785,0.0,0.0,0.0,-0.0884265707584189,-0.0,0.0,3.261935591841015,1.9320702657912838,2.293512
BayesianRegression,0.0,0.0,-0.0,-0.14350334725690472,-0.0,0.1746621584367437,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.647891441591195,-0.06224640104111877,-0.0,-1.0308530387646637,-0.0,-0.0,-0.0,0.0,0.6368261561682511,0.0,0.0,0.0,-0.0,-0.0,0.0,3.261935591841015,2.1889296777921277,1.953432
BayesianRegression,0.0,0.2227243047458563,-0.0,-0.18560505869720254,-0.08895848158567886,0.3181454567019375,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.215963813863746,-0.8623542500399816,-0.0,-1.0430803487439217,-0.0,-0.0,-0.0,0.0,0.4395063517852063,0.0,0.0,0.0,-0.0,-0.0,0.0,3.261935591841015,1.8463497521434846,1.631032
BayesianRegression,0.0,0.2227243047458563,-0.0,-0.061783388205785855,-0.0,0.44278522054306285,0.07621074491949015,0.0,-0.0,-0.0,-0.0,-0.0,-0.4319276277274705,-0.05656179820631419,-0.0,-1.0354294296484141,-0.0,-0.0,-0.0,0.0,0.3399856499506723,0.0,0.0,0.0,-0.06631992806881418,-0.0,0.0,3.261935591841015,2.691619340143298,2.358512
BayesianRegression,0.0,0.0,-0.0,-0.17827041569690383,-0.0,0.5715872108633998,0.0,0.0,-0.2535664649960062,-0.0,-0.0,-0.0,-0.5399095346593328,-0.36921495412061167,-0.0,-1.0359822311505555,-0.0,-0.0,-0.08389956292303678,0.0,0.20836069991826087,0.0,0.0,0.2500256245530804,-0.0,-0.044097369637351266,0.0,3.261935591841015,1.7869685939919582,2.1606
BayesianRegression,0.3197061700580715,0.22436414303354554,-0.0,-0.13131227692661052,-0.08961345062592506,0.3204157620542347,0.07959788913813415,0.0,-0.0,-0.0,-0.0,-0.0,-0.215963813863746,-1.014073457399519,-0.0,-1.041337943902371,-0.0,-0.0,-0.0,0.0,0.4117907297417901,0.0,0.0,0.0,-0.06926748042742813,-0.0,0.0,3.261935591841015,2.0562418627211914,2.221544
BayesianRegression,0.3197061700580715,0.0,-0.0,-0.09963670786184425,-0.011730788780529076,0.5837711829207289,0.052500735388982096,0.0,-0.0,-0.0,-0.029552421763590634,-0.0,-0.5399095346593328,-1.0718318645025586,-0.0,-1.040000932012992,-0.507358166158474,-0.0,-0.0,0.0,0.6093402551241527,0.0,0.0,0.0,-0.0,-0.0,0.0,3.261935591841015,1.527233519593629,1.9454239999999998
BayesianRegression,0.0,0.0,-0.0,-0.18807499149275192,-0.0,0.48516425378594674,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.5399095346593328,-1.0593257382659873,-0.0,-1.0318401742240348,-0.0,-0.0,-0.0,0.0,0.510874384202783,0.0,0.0,0.0,-0.0,-0.0,0.0,3.261935591841015,1.438823791187638,1.2971920000000001
