Model,display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
LassoRegression,-0.0,0.0,-0.02532739268038564,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.023356188841803037,0.0,0.1967141049799333,-0.7074119751735755,0.0,-0.0,0.0,0.0,0.0,0.2094699085542843,0.0,0.01630000944987551,0.0,1.1914885970724731,0.9045894410444082,0.7917653333333333
LassoRegression,-0.0,0.0,-0.01985744911435302,-0.0,-0.0,0.048484882266377254,-0.0,0.0,-0.0,-0.0,-0.0,0.2482902313817041,0.0,0.0,-0.2688009366985836,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,1.1996053249076177,0.9480533333333334
LassoRegression,-0.0,0.0,-0.036956193480538836,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.016907091922797716,0.0,0.0,-0.4363097289889041,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003598703385037451,0.42839739427497464,1.1914885970724731,1.16712586418584,0.8048013333333334
LassoRegression,-0.012590579748361457,0.0,-0.022840771137635364,-0.0,-0.0,0.07350933762966874,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.06901606318207858,0.0,0.0,-0.607401768613001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.6313099523739293,0.6528076923076923
LassoRegression,-0.0,0.0,-0.015124077992253673,-0.0,-0.0,0.09384170761234309,-0.0,0.0,-0.0,-0.0,-0.0,0.016907091922797716,0.0,0.0,-0.6198357059651464,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003598703385037451,0.0,1.1914885970724731,0.6708763160352513,0.5516026666666666
LassoRegression,-0.0,0.0,-0.005015374150481377,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.06989426660867913,0.0,0.0,-0.9611470874067591,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0066236717609155496,0.0,1.1914885970724731,0.30184407388482726,0.24535866666666667
LassoRegression,-0.0,0.0,-0.019498109989345102,-0.0,-0.0,0.09384170761234309,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.18580371123404466,0.0,0.0,-0.46289245516528266,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.9288725247529397,0.804892
LassoRegression,-0.0,0.0,-0.03497650339917034,-0.0,-0.0,0.0,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.03703873230509806,0.0,0.0,-0.5545342127303633,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.006562341466832997,0.0,1.1914885970724731,0.5857080287035772,0.5574359999999999
LassoRegression,-0.0,0.0,-0.013476562418153874,-0.0,-0.0,0.14232658987872035,-0.05987092601129339,0.0,-0.0,-0.045599529585396245,-0.0,0.1509437278880701,0.0,0.0,-0.4773190976889645,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.8884927991354555,0.996468
LassoRegression,-0.0,0.0,-0.019958578857978356,-0.0,-0.0,0.048484882266377254,-0.0,0.0,-0.0,-0.0,-0.0,0.01777859150644706,0.0,0.0,-0.9786452743914877,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.2591482175958313,0.259512
LassoRegression,-0.0,0.0,-0.02496131503386749,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.12122559208562675,0.0,0.0,-0.8609197568758642,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.42683311724836814,0.4774293333333333
LassoRegression,-0.0,0.0,-0.02876543850887701,-0.0,-0.0,0.018943746583426256,-0.0,0.0,-0.0,-0.0,-0.0,0.018301491256636694,0.0,0.0,-0.9867497162382548,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.21321868016540424,0.21818133333333334
LassoRegression,-0.0,0.0,-0.03980232741538881,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.26328002422047325,0.0,0.0,-0.8565292375273423,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.5584370563502152,0.5138320000000001
LassoRegression,-0.0,0.0,-0.031008781972608833,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.23905233579502078,0.0,0.0,-0.19389386434032324,0.0,-0.0,0.16301055579738974,0.0,0.0,0.0,0.0,0.009525979548628547,0.0,1.1914885970724731,1.37817482190058,1.1877946666666666
LassoRegression,-0.0,0.0,-0.02803711271359915,-0.0,-0.0,0.04893801200718452,-0.0,0.0,-0.0,-0.015679082371562764,-0.0,0.22467259266480624,0.0,0.0,-0.8816469572494235,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.5397360494098784,0.436832
LassoRegression,-0.0,0.0,-0.018667714602654494,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.04189422998543023,0.0,0.0,-0.13937925373001225,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42839739427497464,1.1914885970724731,1.5037332530002112,1.617282857142857
LassoRegression,-0.0,0.0,-0.014998713319411557,-0.0,-0.0,0.048484882266377254,-0.05987092601129339,0.0,-0.0,-0.01553390568293718,-0.0,0.013943993338389903,0.0,0.1967141049799333,-0.9780303348529662,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0033870149506234825,0.42839739427497464,1.1914885970724731,0.8139821070161632,0.5467960000000001
LassoRegression,-0.0,0.0,-0.028834517909928355,-0.0,-0.0,0.048484882266377254,-0.05987092601129339,0.0,-0.0,-0.01553390568293718,-0.0,0.12427584062839953,0.0,0.0,-0.9307010019302651,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.32930896843282587,0.45909599999999995
LassoRegression,-0.0,0.0,-0.015740847965249747,-0.0,-0.0,0.09384170761234309,-0.0,0.0,-0.0,-0.0,-0.0,0.024663438217277116,0.0,0.1967141049799333,-1.2375122288154305,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003598703385037451,0.0,1.1914885970724731,0.2570534744863838,0.33019200000000004
LassoRegression,-0.012590579748361457,0.0,-0.027127536891867497,-0.0,-0.0,0.09471873291713134,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.03538288309616427,0.0,0.0,-0.555553817337075,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.6664473530971714,0.6521093333333333
LassoRegression,-0.012590579748361457,0.0,-0.027294988770263397,-0.0,-0.0,0.07038128070925732,-0.0,0.0,-0.0,-0.0,-0.0,0.10318555070408487,0.0,0.0,-0.42737872903302204,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.8977911309341684,0.73094
LassoRegression,-0.012590579748361457,0.0,-0.0021381250800639774,-0.0,-0.0,0.04893801200718452,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.026319287426210848,0.0,0.0,-0.4272341246913525,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.7649121409747972,0.5873266666666667
LassoRegression,-0.0,0.0,-0.0,-0.0,-0.0,0.14207809937569701,-0.0,0.0,-0.0,-0.0,-0.0,0.10335985062081472,0.0,0.0,-0.7318843398638313,0.0,-0.0,0.06649114775946159,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.7715333549646152,0.7231986666666667
