Model,display_bronze,within_display_bronze,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
LassoRegression,0.0,0.002992898691022775,0.0,0.0,-0.0,0.0,-0.0,0.0004757393593057608,-0.126220824919756,0.0,-0.0,0.0,0.37251091083771665,0.0,0.10357730737112959,-0.0,-0.0,0.0,0.3267457907690099,0.6800818221084286,0.5189417777777778
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.15842120664879072,-0.19290400107959746,0.0,-0.11740433402827634,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.1748586623099268,0.2417746666666667
LassoRegression,0.0,0.0,0.0,0.0,-0.018258910296053886,0.0,-0.0,0.14478334501536116,-0.21656438494325073,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.23670584054506644,0.15850055555555553
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.16682593532985754,-0.1525628453287764,0.0,-0.31768231560592425,0.0,0.37251091083771665,0.0,0.0,-0.0,-0.0,0.6077519860183731,0.3267457907690099,1.0035894620202566,0.5693241111111111
LassoRegression,0.0,0.0,0.019917635754702814,0.0,-0.0,0.0,-0.0,0.15905552579453155,-0.16515820036572104,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.3405607519525232,0.4307074444444444
LassoRegression,0.0,0.008098431752179273,0.019917635754702814,0.0,-0.0,0.0,-0.0,0.31398797714174714,-0.15276937300376228,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.5159804624138769,0.5273926666666666
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.18870994585791875,-0.2128647734503205,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.03245039700947131,0.0,0.3267457907690099,0.27014056616713683,0.16586077777777777
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0006343191457408284,-0.04893803190316965,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.008653439202525681,0.0,0.3267457907690099,0.2697886388090554,0.21694411111111112
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.15033363754059403,-0.1882530227309404,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.01676603845489351,0.0,0.3267457907690099,0.27206036712377,0.12938188888888888
LassoRegression,0.0,0.0,0.019917635754702814,0.0,-0.0,0.0,-0.0,0.021699615427555122,-0.034853538539092545,0.0,-0.31768231560592425,0.0,0.0,0.0,0.0,-0.0,-0.008653439202525681,0.6077519860183731,0.3267457907690099,0.6149257346220984,0.4670404651162791
LassoRegression,0.0,0.00905791986194834,0.019917635754702814,0.0,-0.0,0.0,-0.0,0.23168506798186492,-0.1689082234031756,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.41849819096435037,0.4111585555555555
LassoRegression,0.0,0.008098431752179273,0.0,0.0,-0.0,0.0,-0.0,0.0112519566647904,-0.1315006496647016,0.0,-0.0,0.0,0.37251091083771665,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.5871064403589946,0.35808954545454547
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00015857978643527685,-0.1797559998478129,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.04921643546436482,0.0,0.3267457907690099,0.09793193524326743,0.12410522222222223
LassoRegression,0.0,0.002112634370133723,0.0,0.0,-0.0,0.0,-0.0,0.0004757393593057608,-0.15176347291859377,0.0,-0.31768231560592425,0.0,0.37251091083771665,0.0,0.0,-0.0,-0.009280206995231981,0.6077519860183731,0.3267457907690099,0.8308710658347891,0.4400505555555556
LassoRegression,0.0,0.0,0.019917635754702814,0.0,-0.0,0.0,-0.0,0.15857978643522577,-0.18472599644800694,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.016376835873938792,0.0,0.3267457907690099,0.3041403806369927,0.11676488888888888
LassoRegression,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.000792898932176175,-0.17962761628685292,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3267457907690099,0.14791107341433316,0.20001299999999997
