Model,display_bronze,display_platinum,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0033723643043688653,0.0,-0.07109304609607003,0.0,0.0,0.6595329203950805,0.0,0.8590708836277273,0.03332365831117413,-0.0,-0.0,1.6436303029896329,3.127837083531914,3.7464425806451613
RidgeRegression,-0.0,0.0,0.024066821740739874,0.0808988966448933,0.0,0.0,-0.0,0.335284008997517,0.0,-1.5215407888909902,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.5623392414817929,0.4509258064516129
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0002662392871868977,0.0,-1.3990854088837934,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.2448111333930263,0.4737761290322581
RidgeRegression,-0.0,0.0,0.0,0.2374774062801707,0.0,0.0,-0.0,0.3348402768522053,0.0,-0.14066573722922154,0.0,0.4250981201418606,0.6595329203950805,0.5098041194199919,0.0,0.0,-0.0,-0.0,1.6436303029896329,3.66971740884972,4.630576774193548
RidgeRegression,-0.0,0.0,0.0,0.0,0.026481661153411298,0.0,-0.0,0.40770109511238567,0.0,-1.6023524060947376,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.4754606531606922,0.43774193548387097
RidgeRegression,-0.0887454429924901,0.0,0.021235430947711662,0.0,0.0,0.036118411638428265,-0.0,0.24431891920861942,0.0,-0.5703724235821371,0.10702524110156483,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,2.0527433597064104,1.6364406451612903
RidgeRegression,-0.0887454429924901,0.0,0.021235430947711662,0.0808988966448933,0.0,0.0,-0.0,0.0019524214393714422,0.0,-0.28820936277705694,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,2.030295166647143,1.7090238709677419
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.07269688702120038,0.4067248843926999,0.0,-1.5121880414079865,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.5015886705915742,0.4161406451612903
RidgeRegression,-0.0,0.0,0.024066821740739874,0.0,0.0,0.036118411638428265,-0.0,0.1964845939440187,0.0,-1.525169516076502,0.10702524110156483,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.48215585533788263,0.5355090322580646
RidgeRegression,-0.0,0.0,0.0,0.0,0.0522219002660089,0.03442570458051045,-0.0,0.24875624066173643,0.0,-0.507497566980633,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.05931981124453647,-0.0,1.6436303029896329,2.0717496906678,1.7330651612903225
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.0,0.0032836178753064913,0.0,-1.2825852695086657,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,0.39855706924099943,0.47698903225806455
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.24467390492486882,0.0,-1.6232705912347087,0.0,0.0,0.0,0.0,0.0,0.02295629794769773,-0.062236558029868085,-0.0,1.6436303029896329,0.22575335659762263,0.43813290322580645
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.0,0.24707005850955202,0.0,-0.8167010900755233,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.108227689308387,1.1240129032258064
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.15804186019261643,0.0,0.0,-0.0,0.2749246043779181,0.0,-0.8923743769993071,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.1785286776055144,1.7370026666666667
RidgeRegression,-0.0,0.0,0.022651126344225777,0.0,0.0,0.0,-0.0,0.44994439534605907,0.5733937126652924,-0.23802595495982637,0.0,0.0,0.6595329203950805,0.0,0.8590708836277273,0.03332365831117413,-0.03412972537121799,-0.0,1.6436303029896329,3.969391319348148,5.365867741935484
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.0,0.0,-0.0,0.33865637330188597,0.0,-0.850282899788089,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.1263100635480838,1.4727329032258063
RidgeRegression,-0.0,0.0,0.0,0.0,0.026481661153411298,0.0,-0.0,0.5045234492193976,0.5733937126652924,-1.0289666164453857,0.0,0.0,0.0,0.0,0.0,0.0,-0.03412972537121799,-0.0018899937537025504,1.6436303029896329,1.683042790457428,1.254127741935484
RidgeRegression,-0.0,0.0,0.02504250370320231,0.0,0.051254828038860584,0.0,-0.0,0.3350177697103301,0.0,-1.5596609428121213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.4952844616299046,0.47141870967741933
RidgeRegression,-0.0887454429924901,0.0,0.08462505508373165,0.0,0.0,0.0,-0.07269688702120038,0.40379625223364274,0.0,-0.3727066421889018,0.0,0.0,0.6595329203950805,0.0,0.0,0.03332365831117413,-0.0,-0.0,1.6436303029896329,2.2907592168106694,1.591356129032258
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.07269688702120038,0.4040624915208298,0.0,-1.5996631150269855,0.0,0.0,0.0,0.0,0.0,0.06738784236259657,-0.18269441228122568,-0.0,1.6436303029896329,0.2600262225436476,0.41303354838709677
RidgeRegression,-0.0887454429924901,0.0,0.10900854553158654,0.0,0.0,0.036118411638428265,-0.07269688702120038,0.2461825942189287,0.0,-0.8339453421075177,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.0376621885036657,1.0471070967741933
RidgeRegression,-0.0,0.0,0.022651126344225777,0.0,0.0,0.0,-0.0,0.24502889064111807,0.5733937126652924,-1.744244712609632,0.0,0.0,0.0,0.0,0.0,0.0,-0.1525799487183863,-0.0,1.6436303029896329,0.5878793713122508,0.6144367741935485
RidgeRegression,-0.0,0.0,0.0,0.0,0.051254828038860584,0.0,-0.0,0.2500874370976716,0.0,-1.3606380761519965,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.5843344919741686,0.5058477419354839
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.27354903472745196,0.0,-1.5498882574937698,0.0,0.0,0.0,0.0,0.0,0.05627995625887186,-0.1525799487183863,-0.0,1.6436303029896329,0.27099108776380043,0.5277686666666667
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.0,0.0,-0.0,0.49378513130285473,0.0,-0.37120978503246616,0.0,0.0,0.0,0.0,0.0,0.0,-0.15458757962257558,-0.0018899937537025504,1.6436303029896329,1.6059243566820998,1.629677419354839
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.2916207658988462,0.0,-1.586914880030779,0.0,0.0,0.0,0.0,0.0,0.02295629794769773,-0.0,-0.0,1.6436303029896329,0.3712924868053977,0.5259148387096775
RidgeRegression,-0.0,0.0,0.0,0.0,0.03844112102914544,0.0,-0.0,0.5039909706450236,0.5733937126652924,-0.23195976712493915,0.0,0.4250981201418606,0.6595329203950805,0.5098041194199919,0.0,0.0,-0.03412972537121799,-0.0,1.6436303029896329,4.08780177478987,5.158891612903226
RidgeRegression,-0.0887454429924901,0.0,0.09280457254716151,0.0,0.0,0.0,-0.0,0.3343965447068937,0.0,-0.8189790106568618,0.0,0.0,0.0,0.0,0.0,0.03480470979167075,-0.0,-0.0018899937537025504,1.6436303029896329,1.1960216826323045,1.4147793548387095
RidgeRegression,-0.0,1.5625497470828567,0.0,0.1565785096352774,0.0,0.0,-0.0,0.0029286321590571074,0.0,-0.14800173721339221,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,3.8772183750485123,3.9829832258064513
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.07269688702120038,0.24449641206674405,0.0,-1.5379358125554794,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.2774940154796972,0.4332225806451613
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.4041512379498923,0.0,-1.6122785402749062,0.10702524110156483,0.0,0.0,0.0,0.0,0.02295629794769773,-0.0,-0.0,1.6436303029896329,0.5654845397138815,0.39107354838709674
RidgeRegression,-0.0,1.5625497470828567,0.0,0.0,0.0,0.0,-0.0,0.4996423956209692,0.0,-0.0,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.15458757962257558,-0.0,1.6436303029896329,4.210767786465963,5.295913548387096
RidgeRegression,-0.0887454429924901,0.0,0.03822377570588099,0.0,0.0,0.05242995237836362,-0.0,0.40450622366614153,0.0,-0.4108998471262884,0.10702524110156483,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.7442802119691028,1.6384761290322578
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.4235867059145444,0.0,-1.4923978307656596,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.03412972537121799,-0.0,1.6436303029896329,1.2002223731623802,0.47039548387096775
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3372364304368884,0.0,-1.5132803223904696,0.0,0.0,0.0,0.0,0.0,0.044431544414898834,-0.0,-0.0,1.6436303029896329,0.5120179554509505,0.42487741935483875
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.0,0.33679269829157676,0.0,-0.080016374990301,0.0,0.0,0.6595329203950805,0.0,0.8590708836277273,0.0,-0.0,-0.0,1.6436303029896329,3.4551288419521446,4.6809974193548385
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.03645596688738554,-0.0,0.01535313222778453,0.0,-1.0828986808807302,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.6125407212240728,0.3968070967741935
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0026623928718702097,0.0,-0.7030378018328973,0.0,0.0,0.0,0.0,0.0,0.044431544414898834,-0.12045785425135759,-0.0018899937537025504,1.6436303029896329,0.8653385904384444,1.2283025806451613
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.0,0.00727720718311175,0.0,-0.6424211724731279,0.0,0.0,0.0,0.0,0.0,0.044431544414898834,-0.12045785425135759,-0.0018899937537025504,1.6436303029896329,0.9666884457478836,1.0681651612903227
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.026729153313723553,0.0,-0.07269688702120038,0.24644883350611563,0.0,-0.7997282877660458,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.03868940206688,1.4092587096774192
RidgeRegression,-0.0,1.5625497470828567,0.0,0.0,0.0,0.0,-0.0,0.1711918616612521,0.0,-0.8622607794800745,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,2.5132211384999645,1.2184270967741935
RidgeRegression,-0.0,1.5625497470828567,0.0,0.0,0.0,0.036118411638428265,-0.0,0.3273855768109689,0.0,-0.1549169304065003,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,4.074300028510467,3.5672541935483872
RidgeRegression,-0.0,0.0,0.024066821740739874,0.0,0.0,0.0,-0.0,0.235799262018635,0.0,-0.8555741982848163,0.10702524110156483,0.0,0.0,0.0,0.0,0.044431544414898834,-0.0,-0.0018899937537025504,1.6436303029896329,1.1974889802269526,0.7677161290322582
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.2452951299283052,0.0,-1.5344176704870764,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.3545077624308617,0.529625806451613
RidgeRegression,-0.0,0.0,0.024066821740739874,0.0,0.0,0.0,-0.0,0.37344497349432276,0.0,-1.4497642200265413,0.0,0.0,0.0,0.0,0.0,0.02317084278833042,-0.06281820810491358,-0.0,1.6436303029896329,0.551730512881571,0.45245290322580645
RidgeRegression,-0.0,1.5625497470828567,0.0,0.0,0.0,0.0,-0.0,0.24156777990768696,0.0,-0.21225695512129056,0.10702524110156483,0.0,0.6595329203950805,0.0,0.0,0.02295629794769773,-0.0,-0.0,1.6436303029896329,4.025005334303229,5.599697419354839
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.24485139778299356,0.0,-1.4847294653553635,0.0,0.0,0.0,0.0,0.0,0.022423396246771376,-0.06079181429507766,-0.0018899937537025504,1.6436303029896329,0.3634938236152543,0.5060290322580645
RidgeRegression,-0.0,0.0,0.0,0.11743388222645804,0.0,0.0,-0.0,0.02334031084339516,0.0,-0.39348584692497185,0.0,0.4250981201418606,0.6595329203950805,0.5098041194199919,0.0,0.0,-0.0903433906885182,-0.0,1.6436303029896329,2.895010418402929,1.5369922580645161
RidgeRegression,-0.0,0.0,0.0,0.0,0.05087161437128031,0.0,-0.0,0.4069023772508246,0.0,-1.5975984889078105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.5038058057039272,0.38604645161290324
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.2244397351171628,0.0,0.0,0.0,0.0,0.0,0.03332365831117413,-0.0,-0.0,1.6436303029896329,0.45251422618364434,0.4649122580645161
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0021299142974960782,0.0,-0.639127923687678,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.0047422998457485,0.9213864516129032
RidgeRegression,-0.0,0.0,0.0,0.1565785096352774,0.0,0.0,-0.0,0.271348123286706,0.0,-0.9301713321741684,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.1394956099837454,0.9680606666666666
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.0,0.0,-0.0,0.3354615018556417,0.0,-0.37425679445651083,0.0,0.0,0.0,0.0,0.0,0.02295629794769773,-0.0,-0.0018899937537025504,1.6436303029896329,1.6220975953811154,1.830998064516129
RidgeRegression,-0.0,0.0,0.024066821740739874,0.0,0.0,0.036118411638428265,-0.0,0.4027312950848947,0.0,-1.4538546826851355,0.10702524110156483,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.759717389870125,0.41725870967741935
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.051254828038860584,0.0,-0.0,0.2489337335198611,0.0,-0.47277871967973595,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.12045785425135759,-0.0,1.6436303029896329,2.006311491810698,2.1343703225806454
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5045234492193976,0.5733937126652924,-0.6306770728376765,0.0,0.0,0.6595329203950805,0.0,0.8590708836277273,0.03332365831117413,-0.15458757962257558,-0.0,1.6436303029896329,3.488210274748053,2.443727741935484
RidgeRegression,-0.0,0.0,0.021235430947711662,0.0,0.0,0.0,-0.0,0.24130154062049994,0.0,-1.5136818827203375,0.10702524110156483,0.0,0.0,0.0,0.0,0.06727018874031412,-0.06281820810491358,-0.0,1.6436303029896329,0.5039626135744724,0.48614774193548393
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.04588190382522917,0.0,-1.1276935334598701,0.0,0.0,0.0,0.0,0.0,0.06738784236259657,-0.062236558029868085,-0.0,1.6436303029896329,0.5669699576877205,0.37557999999999997
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.036118411638428265,-0.0,0.3372364304368884,0.0,-1.5903241077962276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.42666103726872207,0.46775935483870973
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.43210636310452916,0.0,-1.5069966300038105,0.0,0.0,0.0,0.0,0.0,0.044431544414898834,-0.03412972537121799,-0.0,1.6436303029896329,0.5790418551340324,0.43936387096774193
RidgeRegression,-0.0,0.0,0.0,0.1565785096352774,0.0,0.0,-0.0,0.0009762107196856652,0.0,-1.3334771578237576,0.0,0.0,0.0,0.0,0.0,0.00814578314273145,-0.022083939946082216,-0.0,1.6436303029896329,0.45376970871748745,0.4239483870967742
RidgeRegression,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.40636989867645057,0.0,-0.8159534722211286,0.0,0.12044446737352713,0.0,0.0,0.0,0.0,-0.0,-0.0018899937537025504,1.6436303029896329,1.3526012030647794,1.1398735483870968
RidgeRegression,-0.0,0.0,0.0,0.0,0.026481661153411298,0.0,-0.0,0.03283617875306525,0.0,-0.40469139310976293,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,1.957789670181427,1.269298064516129
RidgeRegression,-0.0,0.0,0.0,0.0,0.07773648919227188,0.0,-0.0,0.24565011564455447,0.0,-1.577715705989426,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.3893012018370332,0.46086129032258066
RidgeRegression,-0.0887454429924901,0.0,0.08494172379084666,0.0,0.0,0.0,-0.0,0.33297660184189615,0.0,-0.38225662751333117,0.0,0.0,0.6595329203950805,0.0,0.0,0.05257732755763029,-0.022083939946082216,-0.0,1.6436303029896329,2.280572866123183,1.7835432258064516
RidgeRegression,-0.0,0.0,0.06370629284313499,0.0808988966448933,0.0,0.0,-0.0,0.0007987178615610293,0.0,-1.2277850252695575,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,0.5612491850696648,0.4735451612903226
RidgeRegression,-0.0,1.5625497470828567,0.0,0.0,0.0,0.0,-0.0,0.33794640186938707,0.0,-0.14023475922866008,0.0,0.0,0.6595329203950805,0.0,0.0,0.0,-0.0,-0.0,1.6436303029896329,4.063424613108297,5.317070967741935
