PPG_Retailer_Variant,Model,Train_r2,Test_r2,Test_sMAPE,NumRows,NumCols,Promo_sparsity,Display_sparsity,Promotional_activity_sparsity,Sales_sparsity
Promo.Group 19__Retailer 0,LinearRegression,0.5717307644791354,0.21110723714059465,31.780916973013554,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,SGDRegression,0.1543425863517588,0.06290981894119174,39.4542640314596,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,LassoRegression,0.5625587548957889,0.30866361132073805,30.16213669939836,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,RidgeRegression,0.36602956601291026,0.24414563094826802,34.82463790201318,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,BayesianRegression,0.5169852987031505,0.3471686001012707,33.68887851766936,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,LinearRegression_Positive,0.28702801761129704,0.12357044850229804,36.44956420600217,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,LassoRegression_Positive,0.08678592412563846,0.010040550859969799,40.890423886664614,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 0,ElasticNetRegression_Positive,0.09192145902527549,0.011469370884362506,40.75870908477099,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 1,LinearRegression,0.5472469807693374,0.5308920523542623,32.4477481655932,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,SGDRegression,0.25287694644742653,-0.019153372619439057,49.91933475322213,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,LassoRegression,0.3448760109057204,0.1488734269114137,41.808696366011624,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,RidgeRegression,0.49846261315750184,0.3857493651816364,36.12499802909466,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,BayesianRegression,0.5092417084993317,-160.45851506712552,48.78139625567071,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,LinearRegression_Positive,0.18881219771826663,-0.04248925248091018,50.54672115877647,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,LassoRegression_Positive,0.02026772685887701,-0.14454553053047214,49.676778312956486,113,28,92.92,73.45,71.68,79.29
Promo.Group 19__Retailer 1,ElasticNetRegression_Positive,0.02026772685887701,-0.14454553053047214,49.676778312956486,113,28,92.92,73.45,71.68,79.29
Promo.Group 20__Retailer 0,LinearRegression,0.8216869174370128,0.7847591219456995,35.20219881371757,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,SGDRegression,0.43567578886057856,0.45661783424873637,46.59847201723982,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,LassoRegression,0.8023199153817735,0.7669167203816,32.579571377639354,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,RidgeRegression,0.8056591035911783,0.7894497990715261,32.40506604895214,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,BayesianRegression,0.674701667319171,0.7816735095752017,36.97794866240411,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,LinearRegression_Positive,0.6072396737312282,0.6849334868895993,41.41351786361727,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,LassoRegression_Positive,0.5765810847182774,0.6462254497115917,42.918642639258664,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 0,ElasticNetRegression_Positive,0.5760639064326172,0.6380990210074565,42.897679768640266,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 1,LinearRegression,0.8420613584767491,0.6069247569004015,61.70875461048106,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,SGDRegression,0.6149009058826039,0.6749816746353511,32.21728310575664,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,LassoRegression,0.794611840379736,0.8496426447146492,31.638342977426145,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,RidgeRegression,0.8294823455499407,0.7889390651768438,49.690876485954504,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,BayesianRegression,0.5857370686272996,-3.5910143858372052,95.59317511684816,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,LinearRegression_Positive,0.6858998880581306,0.7562253083296648,27.722151368956467,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,LassoRegression_Positive,0.6424043139555649,0.7176827581899388,25.410600308397445,113,25,38.01,61.1,38.01,59.15
Promo.Group 20__Retailer 1,ElasticNetRegression_Positive,0.6424043139555649,0.7176827581899388,25.410600308397445,113,25,38.01,61.1,38.01,59.15
Promo.Group 22__Retailer 0,LinearRegression,0.7872611725655185,0.45755165829568034,53.343508805987604,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,SGDRegression,0.6830645474050232,0.6105146894049138,45.12939207492815,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,LassoRegression,0.7213438185283398,0.6266977679019211,49.620690046184656,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,RidgeRegression,0.7745285417006028,0.6055214055166571,49.26888501294714,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,BayesianRegression,0.7828922988182172,0.4293230744231865,52.9969111347737,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,LinearRegression_Positive,0.7420001541181215,0.5717058673920103,50.55093550497643,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,LassoRegression_Positive,0.719430896332794,0.6264083534337199,49.60517315452886,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 0,ElasticNetRegression_Positive,0.719430896332794,0.6264083534337199,49.60517315452886,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 1,LinearRegression,0.9016869130080679,0.6322016227479943,27.559811818427857,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,SGDRegression,0.8024229409014438,0.6120245142386336,27.178169907925852,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,LassoRegression,0.8588732432248081,0.5895650150353209,26.653900263463022,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,RidgeRegression,0.8583701617670416,0.539533362247375,27.486115496715154,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,BayesianRegression,0.8824083968424168,0.49390266955564077,29.60268633159082,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,LinearRegression_Positive,0.8481104061919563,0.7074842733902471,27.189496657954983,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,LassoRegression_Positive,0.8149183083666873,0.7109621995593691,25.00946060452221,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,ElasticNetRegression_Positive,0.8149183083666873,0.7109621995593691,25.00946060452221,113,28,94.69,74.34,74.34,4.42
Promo.Group 3__Retailer 0,LinearRegression,0.8569876059503191,0.5254469308694626,34.55023460969504,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,SGDRegression,0.5803682448180708,0.4554005453554355,36.47290193688633,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,LassoRegression,0.842789501866913,0.5420042298305505,32.83492207340999,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,RidgeRegression,0.7928097463088208,0.5453599368338746,33.077961494050484,113,22,53.07,61.93,53.07,80.37
