PPG_Retailer_Variant,Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze
Promo.Group 19__Retailer 0,LinearRegression,2.57,94.85,0.0,0.0,0.0,2.57
Promo.Group 19__Retailer 0,SGDRegression,2.05,95.9,0.0,0.0,0.0,2.05
Promo.Group 19__Retailer 0,LassoRegression,0.0,100.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 0,RidgeRegression,2.6,94.81,0.0,0.0,0.0,2.6
Promo.Group 19__Retailer 0,LinearRegression_Positive,0.0,94.11,0.0,0.0,0.0,5.89
Promo.Group 19__Retailer 0,LassoRegression_Positive,0.0,100.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 0,ElasticNetRegression_Positive,0.0,100.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 1,LinearRegression,48.44,0.0,20.15,-5.57,11.35,25.63
Promo.Group 19__Retailer 1,SGDRegression,67.77,0.0,17.22,-8.28,9.99,13.3
Promo.Group 19__Retailer 1,LassoRegression,100.0,0.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 1,RidgeRegression,52.93,0.0,18.29,-5.7,10.71,23.78
Promo.Group 19__Retailer 1,LinearRegression_Positive,44.46,0.0,19.45,0.0,10.97,25.12
Promo.Group 19__Retailer 1,LassoRegression_Positive,100.0,0.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 1,ElasticNetRegression_Positive,100.0,0.0,0.0,0.0,0.0,0.0
Promo.Group 20__Retailer 0,LinearRegression,-12.24,19.83,52.07,4.06,25.65,10.62
Promo.Group 20__Retailer 0,SGDRegression,68.15,11.91,18.83,0.34,4.75,-3.98
Promo.Group 20__Retailer 0,LassoRegression,76.45,0.0,23.55,0.0,0.0,0.0
Promo.Group 20__Retailer 0,RidgeRegression,41.03,16.62,29.31,0.86,11.79,0.39
Promo.Group 20__Retailer 0,LinearRegression_Positive,0.0,20.44,45.77,3.24,22.28,8.27
Promo.Group 20__Retailer 0,LassoRegression_Positive,76.45,0.0,23.55,0.0,0.0,0.0
Promo.Group 20__Retailer 0,ElasticNetRegression_Positive,76.45,0.0,23.55,0.0,0.0,0.0
Promo.Group 20__Retailer 1,LinearRegression,52.05,23.99,15.94,3.73,2.61,1.68
Promo.Group 20__Retailer 1,SGDRegression,55.08,22.9,16.74,3.4,1.67,0.22
Promo.Group 20__Retailer 1,LassoRegression,66.37,22.09,11.54,0.0,0.0,0.0
Promo.Group 20__Retailer 1,RidgeRegression,52.64,23.97,15.89,3.69,2.44,1.37
Promo.Group 20__Retailer 1,LinearRegression_Positive,52.69,23.8,15.85,3.34,2.39,1.93
Promo.Group 20__Retailer 1,LassoRegression_Positive,66.37,22.09,11.54,0.0,0.0,0.0
Promo.Group 20__Retailer 1,ElasticNetRegression_Positive,66.37,22.09,11.54,0.0,0.0,0.0
Promo.Group 22__Retailer 0,LinearRegression,-11.1,122.19,-0.0,-0.0,-0.0,-11.1
Promo.Group 22__Retailer 0,SGDRegression,-7.26,114.52,-0.0,-0.0,-0.0,-7.26
Promo.Group 22__Retailer 0,LassoRegression,-22.19,122.19,-0.0,-0.0,-0.0,-0.0
