PPG_Retailer_Variant,Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze
Promo.Group 19__Retailer 0,LassoRegression_Positive,0.0,100.0,0.0,0.0,0.0,0.0
Promo.Group 19__Retailer 1,LassoRegression_Positive,100.0,0.0,0.0,0.0,0.0,0.0
Promo.Group 20__Retailer 0,LinearRegression_Positive,0.0,20.44,45.77,3.24,22.28,8.27
Promo.Group 20__Retailer 1,LassoRegression_Positive,66.37,22.09,11.54,0.0,0.0,0.0
Promo.Group 22__Retailer 0,ElasticNetRegression_Positive,50.02,0.0,0.0,0.0,0.0,49.98
Promo.Group 22__Retailer 1,LassoRegression_Positive,97.82,0.0,0.0,0.0,0.0,2.18
Promo.Group 3__Retailer 0,LassoRegression_Positive,63.82,6.46,23.11,0.0,6.61,0.0
Promo.Group 3__Retailer 1,LinearRegression_Positive,47.39,11.35,28.31,2.16,3.12,7.67
Promo.Group 5__Retailer 0,LinearRegression_Positive,21.65,78.35,0.0,0.0,0.0,0.0
Promo.Group 5__Retailer 1,LassoRegression_Positive,53.02,0.0,24.83,0.0,0.0,22.15
Promo.Group 6__Retailer 0,LinearRegression_Positive,57.77,3.21,26.52,11.65,0.85,0.0
Promo.Group 6__Retailer 1,ElasticNetRegression_Positive,46.6,15.87,18.65,9.25,5.33,4.29
