PPG_Retailer_Variant,Model,Train_r2,Test_r2,Test_sMAPE,NumRows,NumCols,Promo_sparsity,Display_sparsity,Promotional_activity_sparsity,Sales_sparsity
Promo.Group 19__Retailer 0,BayesianRegression,0.5169852987031505,0.3471686001012707,33.68887851766936,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 1,BayesianRegression,0.5092417084993317,-160.45851506712552,48.78139625567071,113,28,92.92,73.45,71.68,79.29
Promo.Group 20__Retailer 0,BayesianRegression,0.674701667319171,0.7816735095752017,36.97794866240411,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 1,BayesianRegression,0.5857370686272996,-3.5910143858372052,95.59317511684816,113,25,38.01,61.1,38.01,59.15
Promo.Group 22__Retailer 0,BayesianRegression,0.7828922988182172,0.4293230744231865,52.9969111347737,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 1,BayesianRegression,0.8824083968424168,0.49390266955564077,29.60268633159082,113,28,94.69,74.34,74.34,4.42
Promo.Group 3__Retailer 0,BayesianRegression,0.7508203334063696,0.30996837951856526,42.40793145767967,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 1,BayesianRegression,0.675052265043453,-1.721600434497386,72.42109194757532,113,19,40.75,63.74,39.86,90.0
Promo.Group 5__Retailer 0,BayesianRegression,0.5364638808782736,0.3291130367723403,20.760036022391574,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 1,BayesianRegression,0.7266018623472872,0.3461096712160575,13.526859671233005,113,28,92.91,69.0,68.12,61.03
Promo.Group 6__Retailer 0,BayesianRegression,0.9080695358039573,0.9170141569313438,31.91050021427441,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 1,BayesianRegression,0.8628110356757934,-1.0555206174625513,47.56889780267299,113,19,40.71,61.06,40.71,61.06
Promo.Group 19__Retailer 0,LassoRegression,0.5625587548957889,0.30866361132073805,30.16213669939836,113,28,79.65,99.12,79.65,80.0
Promo.Group 19__Retailer 1,LinearRegression,0.5472469807693374,0.5308920523542623,32.4477481655932,113,28,92.92,73.45,71.68,79.29
Promo.Group 20__Retailer 0,RidgeRegression,0.8056591035911783,0.7894497990715261,32.40506604895214,113,20,60.13,72.57,60.13,60.55
Promo.Group 20__Retailer 1,LassoRegression,0.794611840379736,0.8496426447146492,31.638342977426145,113,25,38.01,61.1,38.01,59.15
Promo.Group 22__Retailer 0,LassoRegression,0.7213438185283398,0.6266977679019211,49.620690046184656,113,28,82.3,99.12,82.3,12.39
Promo.Group 22__Retailer 1,LassoRegression_Positive,0.8149183083666873,0.7109621995593691,25.00946060452221,113,28,94.69,74.34,74.34,4.42
Promo.Group 3__Retailer 0,RidgeRegression,0.7928097463088208,0.5453599368338746,33.077961494050484,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 1,RidgeRegression,0.6788904676415097,0.6041421941289347,35.663896597498635,113,19,40.75,63.74,39.86,90.0
Promo.Group 5__Retailer 0,LinearRegression,0.5664030653112055,0.3728376726980256,20.17535668203291,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 1,LassoRegression,0.7298597685742418,0.3539501684048527,13.853787456348005,113,28,92.91,69.0,68.12,61.03
Promo.Group 6__Retailer 0,LassoRegression,0.9081413467380859,0.9452848970246526,21.321621281681796,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 1,SGDRegression,0.803942961932902,0.5203914740649467,32.31905625422779,113,19,40.71,61.06,40.71,61.06
