PPG_Retailer_Variant,Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant
Promo.Group 19__Retailer 0,LassoRegression,0.1,0.0,-6.72,3.59,19.82,7.94,-10.62,2.5,0.49,0.0,0.0,-2.98,4.53,0.0,2.45,-62.35,-1.77,0.0,7.66,-2.06,0.0,0.0,0.0,-33.07,2.6,1.21,14.49,152.17
Promo.Group 19__Retailer 1,LinearRegression,1.7,0.0,3.02,-0.36,-12.1,0.93,28.38,3.09,-0.51,-3.01,2.94,-3.74,-22.09,-41.55,0.08,-24.97,-3.02,-1.88,0.7,25.37,1.88,0.46,0.36,1.21,1.89,0.48,0.0,140.73
Promo.Group 20__Retailer 0,RidgeRegression,-1.16,3.47,,1.19,,,,,-0.48,0.95,0.51,-0.82,8.15,,1.57,-64.02,-1.61,0.94,-0.26,,8.41,0.04,0.99,,-1.45,0.45,1.27,141.84
Promo.Group 20__Retailer 1,LassoRegression,-0.25,8.59,,0.0,-2.93,0.0,0.0,6.89,0.0,0.0,-0.59,0.0,11.51,0.0,2.09,-84.76,0.41,0.0,0.91,,0.0,0.0,1.48,,0.0,0.38,-2.47,158.75
Promo.Group 22__Retailer 0,LassoRegression,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,-0.53,104.91,0.0,0.0,0.0,-0.76,0.0,0.0,37.08,0.01,0.0,0.0,-1.13,0.0,-0.06,-0.28,-42.8
Promo.Group 22__Retailer 1,LassoRegression_Positive,0.73,0.47,0.0,0.0,4.49,0.0,0.0,0.0,0.01,0.0,0.0,0.0,60.25,0.0,0.0,0.0,0.0,0.0,0.0,34.33,2.84,0.0,0.09,0.0,0.0,2.43,0.0,-5.63
Promo.Group 3__Retailer 0,RidgeRegression,-0.46,4.68,-2.82,0.08,,-0.34,,,-0.88,-0.8,0.41,-0.81,16.21,,-0.07,-34.14,-1.42,0.32,-1.63,,26.29,0.54,3.27,,0.34,-1.96,0.97,92.23
Promo.Group 3__Retailer 1,RidgeRegression,-0.43,10.7,,,,3.5,,,1.31,-0.97,0.07,-0.98,17.78,,,-22.52,-1.19,-2.18,0.26,,22.69,0.07,1.25,,-0.49,-2.76,1.29,72.6
Promo.Group 5__Retailer 0,LinearRegression,-1.26,0.0,3.01,-0.68,,-1.63,,,0.3,0.44,0.32,-0.58,21.34,,0.98,-11.82,0.33,-1.22,-1.23,,1.71,0.0,0.0,,1.79,-1.76,7.1,82.88
Promo.Group 5__Retailer 1,LassoRegression,0.59,0.94,0.0,0.0,0.0,2.74,0.0,-2.5,0.31,0.78,0.0,-1.28,8.95,0.0,-1.04,9.1,-0.09,-0.98,0.0,20.28,2.83,0.0,0.0,0.0,0.0,2.57,0.0,56.8
Promo.Group 6__Retailer 0,LassoRegression,0.0,9.11,1.6,-0.93,,0.0,,,-0.32,1.19,-1.06,-0.26,0.0,,2.6,-65.14,0.0,0.17,0.0,,4.53,2.32,5.54,,0.0,2.59,0.55,137.51
Promo.Group 6__Retailer 1,SGDRegression,0.29,10.03,,,,0.36,,,1.0,-0.02,0.94,-0.56,17.44,,1.91,-25.78,0.39,,0.86,,29.61,0.71,2.06,,0.31,0.01,4.77,55.66
