Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,WeekNum,Month,Quarter,Year,Month_Year
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 13,3.76332,99.8,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 14,2.42572,94.8,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,160.0,Product.Type 3,APN 15,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 16,1.92962,99.8,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,140.0,Product.Type 3,APN 185,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 189,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 192,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,260.0,Product.Type 3,APN 194,4.86096,99.6,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 196,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 197,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,240.0,Product.Type 3,APN 198,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,230.0,Product.Type 3,APN 199,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,240.0,Product.Type 3,APN 203,5.13432,95.1,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,200.0,Product.Type 3,APN 204,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,200.0,Product.Type 3,APN 205,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,260.0,Product.Type 3,APN 208,2.35794,95.1,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 210,0.00088,1.8,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,350.0,Product.Type 3,APN 215,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,240.0,Product.Type 3,APN 216,10.6044,100.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 219,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 220,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 222,4.6376,99.8,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 224,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 225,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,260.0,Product.Type 3,APN 229,14.16064,100.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,260.0,Product.Type 3,APN 231,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,230.0,Product.Type 3,APN 232,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 233,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,240.0,Product.Type 3,APN 234,5.81736,100.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,230.0,Product.Type 3,APN 235,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 236,0.0,0.0,Promo.Group 6__Retailer 0,31,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 13,1.51888,99.8,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 14,0.8613,94.9,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,160.0,Product.Type 3,APN 15,0.0,0.0,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 16,0.70928,99.8,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,140.0,Product.Type 3,APN 185,0.0,0.0,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 189,0.0,0.0,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,220.0,Product.Type 3,APN 192,0.0,0.0,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
2018-08-12,Promo.Group 6,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 5,Sub.Brand 63,260.0,Product.Type 3,APN 194,1.32184,99.6,Promo.Group 6__Retailer 0,32,8,3,2018,8__2018
